path,on_pad,best_overlap,pad_frame_count,dog_frame_count,total_frames_checked,best_confidence
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-16-27.mp4,False,0.0,0,5,36,0.537
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-17-19.mp4,False,0.0,0,18,56,0.855
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-31-33.mp4,True,0.36,15,35,76,0.88
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-35-09.mp4,True,0.256,4,41,92,0.812
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-36-39.mp4,False,0.033,0,8,40,0.596
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-37-07.mp4,True,1.0,23,60,120,0.917
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-38-05.mp4,True,1.0,4,8,44,0.899
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-44-08.mp4,False,0.0,0,1,36,0.686
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-45-40.mp4,False,0.002,0,3,36,0.478
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-46-24.mp4,False,0.025,0,4,36,0.727
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-47-23.mp4,False,0.008,0,3,36,0.775
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-47-40.mp4,True,0.055,1,7,36,0.744
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-48-09.mp4,False,0.022,0,4,40,0.849
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-48-51.mp4,False,0.0,0,3,36,0.746
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-50-35.mp4,True,0.059,1,13,72,0.705
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-51-48.mp4,True,0.076,1,6,36,0.786
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-54-31.mp4,False,0.019,0,2,36,0.744
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-55-00.mp4,False,0.0,0,11,68,0.792
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-56-36.mp4,False,0.023,0,27,176,0.823
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-58-08.mp4,False,0.0,0,5,52,0.698
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-58-36.mp4,False,0.0,0,5,44,0.828
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-59-31.mp4,False,0.0,0,13,48,0.713
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-59-53.mp4,False,0.0,0,12,48,0.523
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-01-25.mp4,False,0.0,0,1,36,0.602
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-01-56.mp4,True,1.0,23,48,100,0.945
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-02-42.mp4,False,0.0,0,27,36,0.862
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-03-13.mp4,False,0.014,0,10,56,0.792
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-07-01.mp4,False,0.0,0,32,60,0.792
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-07-28.mp4,False,0.0,0,53,60,0.88
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-08-11.mp4,True,0.448,17,27,56,0.92
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-08-49.mp4,True,1.0,7,105,156,0.899
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-10-09.mp4,True,1.0,10,53,108,0.886
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-13-39.mp4,False,0.0,0,6,36,0.786
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-14-29.mp4,True,1.0,14,37,92,0.949
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-18-41.mp4,False,0.0,0,17,44,0.771
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-19-23.mp4,False,0.0,0,16,56,0.811
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-21-16.mp4,False,0.0,0,38,40,0.708
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-21-54.mp4,False,0.0,0,9,36,0.884
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 02-03-05.mp4,False,0.0,0,2,32,0.439
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 02-04-31.mp4,True,0.932,18,40,60,0.871
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 02-07-02.mp4,False,0.0,0,12,36,0.808
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 02-07-47.mp4,True,1.0,28,50,72,0.871
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 09-49-46.mp4,False,0.0,0,6,32,0.691
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 09-59-21.mp4,False,0.0,0,6,36,0.804
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-08-22.mp4,True,0.347,1,1,28,0.781
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-08-42.mp4,True,0.301,2,2,32,0.567
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-13-49.mp4,False,0.0,0,4,94,0.42
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-14-33.mp4,False,0.0,0,1,40,0.379
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-52-41.mp4,False,0.0,0,3,32,0.702
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-07-46.mp4,True,0.989,24,33,72,0.912
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-23-13.mp4,False,0.0,0,43,100,0.883
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-24-08.mp4,False,0.0,0,20,52,0.687
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-30-23.mp4,False,0.0,0,4,44,0.53
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-30-43.mp4,True,0.347,3,24,104,0.859
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-36-09.mp4,False,0.0,0,6,63,0.565
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-38-13.mp4,False,0.0,0,18,64,0.766
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-08-35.mp4,False,0.0,0,2,36,0.554
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-08-50.mp4,True,0.322,9,11,36,0.718
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-09-24.mp4,True,0.348,8,10,72,0.848
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-26-06.mp4,False,0.0,0,14,48,0.891
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-26-31.mp4,False,0.0,0,8,48,0.687
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-28-33.mp4,False,0.0,0,5,56,0.882
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-52-21.mp4,False,0.017,0,3,64,0.612
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-53-29.mp4,False,0.02,0,5,44,0.791
