path,on_pad,best_overlap,pad_frame_count,dog_frame_count,total_frames_checked,best_confidence
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-31-33.mp4,True,0.36,15,35,76,0.88
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-35-09.mp4,True,0.256,4,41,92,0.812
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-37-07.mp4,True,1.0,23,60,120,0.917
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-38-05.mp4,True,1.0,4,8,44,0.899
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-47-40.mp4,True,0.055,1,7,36,0.744
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-50-35.mp4,True,0.059,1,13,72,0.705
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-51-48.mp4,True,0.076,1,6,36,0.786
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-01-56.mp4,True,1.0,23,48,100,0.945
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-08-11.mp4,True,0.448,17,27,56,0.92
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-08-49.mp4,True,1.0,7,105,156,0.899
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-10-09.mp4,True,1.0,10,53,108,0.886
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 01-14-29.mp4,True,1.0,14,37,92,0.949
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 02-04-31.mp4,True,0.932,18,40,60,0.871
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 02-07-47.mp4,True,1.0,28,50,72,0.871
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-08-22.mp4,True,0.347,1,1,28,0.781
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-08-42.mp4,True,0.301,2,2,32,0.567
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-07-46.mp4,True,0.989,24,33,72,0.912
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-30-43.mp4,True,0.347,3,24,104,0.859
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-08-50.mp4,True,0.322,9,11,36,0.718
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-09-24.mp4,True,0.348,8,10,72,0.848
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-55-21.mp4,True,0.218,2,6,52,0.861
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-04-01.mp4,True,1.0,27,53,68,0.898
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-05-42.mp4,True,0.393,2,4,32,0.857
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-29-20.mp4,True,0.184,7,50,132,0.873
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-30-23.mp4,True,0.855,10,68,148,0.871
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-38-54.mp4,True,0.144,3,16,40,0.889
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-12-40.mp4,True,0.185,8,8,42,0.582
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-47-56.mp4,True,0.087,15,27,64,0.853
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-46-21.mp4,True,0.359,3,19,72,0.904
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-40-26.mp4,True,0.77,14,66,80,0.897
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-26-19.mp4,True,0.629,15,19,56,0.791
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-54-17.mp4,True,0.089,2,11,36,0.657
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-34-34.mp4,True,1.0,27,48,96,0.847
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-54-56.mp4,True,0.112,3,29,40,0.837
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-46-29.mp4,True,0.051,1,31,76,0.813
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-54-36.mp4,True,0.147,18,28,46,0.892
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-06-53.mp4,True,1.0,30,30,48,0.753
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-12-58.mp4,True,0.115,6,63,140,0.873
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-07-17.mp4,True,1.0,48,48,68,0.759
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-38-57.mp4,True,0.091,1,12,43,0.85
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-42-59.mp4,True,0.206,5,9,36,0.776
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-44-30.mp4,True,0.108,2,4,36,0.869
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-53-22.mp4,True,0.098,2,5,36,0.765
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-52-08.mp4,True,0.136,2,5,40,0.862
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-05-48.mp4,True,1.0,67,69,140,0.926
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-21-24.mp4,True,0.089,2,5,40,0.796
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-08-03.mp4,True,0.614,18,26,60,0.867
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-21-52.mp4,True,0.489,8,20,102,0.828
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-07-49.mp4,True,1.0,62,71,152,0.842
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-22-21.mp4,True,0.055,1,27,220,0.774
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-45-17.mp4,True,0.175,4,25,64,0.862
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 21-56-33.mp4,True,0.645,16,22,64,0.85
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-31-33.mp4,True,0.081,6,142,264,0.906
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-44-57.mp4,True,0.129,3,7,36,0.781
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-56-31.mp4,True,0.069,14,37,68,0.769
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-10-30.mp4,True,0.185,51,66,272,0.796
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-29-14.mp4,True,0.331,1,32,60,0.833
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-33-16.mp4,True,0.719,1,16,60,0.781
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-22-37.mp4,True,1.0,6,19,84,0.744
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-36-07.mp4,True,1.0,23,28,76,0.725
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-56-45.mp4,True,0.73,6,15,44,0.822
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-06-25.mp4,True,0.083,2,6,44,0.809
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-58-17.mp4,True,0.481,4,13,48,0.643
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 18-57-05.mp4,True,0.088,10,16,128,0.707
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-09-56.mp4,True,0.071,3,6,36,0.405
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-04-14.mp4,True,0.198,3,12,60,0.814
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-33-47.mp4,True,1.0,39,43,136,0.871
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-01-11.mp4,True,0.111,3,14,72,0.769
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-11-49.mp4,True,1.0,11,14,52,0.758
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-45-18.mp4,True,0.156,3,40,111,0.907
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-16-17.mp4,True,1.0,5,5,36,0.78
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-16-48.mp4,True,1.0,2,2,40,0.439
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-17-46.mp4,True,1.0,14,14,36,0.69
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-46-26.mp4,True,0.205,4,58,103,0.911
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-17-22.mp4,True,1.0,26,26,56,0.538
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 14-03-14.mp4,True,0.371,7,8,40,0.68
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 14-48-30.mp4,True,0.139,1,2,36,0.665
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 14-49-27.mp4,True,0.722,26,26,32,0.649
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 14-02-45.mp4,True,0.509,18,26,52,0.888
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-15-27.mp4,True,1.0,5,9,84,0.798
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 14-48-55.mp4,True,0.194,16,23,52,0.867
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 14-51-40.mp4,True,0.56,13,15,56,0.821
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 17-17-40.mp4,True,0.05,1,15,32,0.685
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 14-56-05.mp4,True,0.132,1,3,36,0.491
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 14-50-03.mp4,True,0.166,44,44,64,0.788
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 16-53-33.mp4,True,0.099,2,8,52,0.727
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-18-33.mp4,True,1.0,26,42,104,0.87
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 17-29-08.mp4,True,0.095,2,9,44,0.671
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 17-30-08.mp4,True,1.0,14,17,52,0.828
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 17-47-22.mp4,True,0.097,2,6,40,0.538
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 14-50-33.mp4,True,0.137,34,42,100,0.738
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 18-26-18.mp4,True,0.063,1,5,48,0.721
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-30-42.mp4,True,0.325,5,6,48,0.799
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-34-22.mp4,True,0.122,7,7,32,0.771
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-31-03.mp4,True,0.157,2,3,50,0.799
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-34-37.mp4,True,0.073,2,9,32,0.625
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-35-51.mp4,True,1.0,9,19,49,0.84
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-33-42.mp4,True,0.112,41,56,64,0.838
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-37-13.mp4,True,1.0,3,3,32,0.43
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-38-32.mp4,True,1.0,17,17,32,0.722
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-39-06.mp4,True,1.0,25,25,36,0.8
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-37-37.mp4,True,1.0,3,3,40,0.355
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-35-11.mp4,True,1.0,24,48,80,0.818
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-36-11.mp4,True,1.0,18,18,72,0.828
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-36-43.mp4,True,1.0,22,22,68,0.884
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-40-55.mp4,True,0.235,5,11,44,0.845
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-24\2026-02-24 00-24-35.mp4,True,1.0,11,11,48,0.588
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-23\2026-02-23 20-39-20.mp4,True,1.0,9,9,64,0.714
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-24\2026-02-24 00-25-52.mp4,True,1.0,32,32,36,0.682
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-24\2026-02-24 00-25-13.mp4,True,1.0,13,13,40,0.598
