path,dog_detected,best_confidence,dog_frame_count,total_frames_checked
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-16-05.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-16-27.mp4,TRUE,0.537,5,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-17-19.mp4,TRUE,0.855,18,56
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-25-17.mp4,FALSE,0,0,68
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-26-36.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-31-33.mp4,TRUE,0.88,35,76
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-35-09.mp4,TRUE,0.812,35,92
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-36-39.mp4,TRUE,0.596,6,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-37-07.mp4,TRUE,0.917,53,120
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-38-05.mp4,TRUE,0.899,7,44
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-44-08.mp4,TRUE,0.686,1,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-45-40.mp4,TRUE,0.478,3,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-46-24.mp4,TRUE,0.727,3,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-47-23.mp4,TRUE,0.775,3,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-47-40.mp4,TRUE,0.744,7,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-48-09.mp4,TRUE,0.849,4,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-48-51.mp4,TRUE,0.746,3,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-50-35.mp4,TRUE,0.705,11,72
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-51-48.mp4,TRUE,0.786,6,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-54-31.mp4,TRUE,0.744,2,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-55-00.mp4,TRUE,0.792,11,68
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-56-36.mp4,TRUE,0.823,25,176
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-58-08.mp4,TRUE,0.698,5,52
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-58-36.mp4,TRUE,0.828,5,44
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-59-31.mp4,TRUE,0.713,12,48
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 00-59-53.mp4,TRUE,0.523,8,48
